campaign_id,audience_segment,creative_size_px,user_id,creative_messaging,app_url,exchange,device_make,impressions,viewable_impressions,measurable_impressions,clicks,total_conversions,gross_cost_USD
IO5D,Media and Entertainment - Audio and Video Streaming - Streaming Video,320x50,NIUDH7635W,Subscribe Today - 10% Discount,wunderground.com,OpenX,Smartphone,13713,8339,13051,151,5," $1,490.01 "
EJ29S,Media and Entertainment - Audio and Video Streaming - Streaming Video - Interest (Affinity),320x50,CSFSM1628N,Sign up Today - 10% Off,nytimes.com,Google Ad Manager,Smartphone,16239,9375,15562,78,5," $2,387.69 "
XD48N,Media and Entertainment - Audio and Video Streaming - Streaming Video - Interest (Affinity) - Streaming Services,300x250,WFPNH3620P,Sign up Today - 10% Off,yahoo.com,Google Ad Manager,Apple PC,17049,191,15564,84,15," $2,144.49 "
GO2Y,Media and Entertainment - Connected TV and Over-the-Top (CTV and OTT),300x250,DVFAY1218D,Sign up Today - 10% Off,streetinsider.com,Google Ad Manager,Smartphone,756687,442979,611813,1984,14," $2,453.00 "
UG90P,Media and Entertainment - Connected TV and Over-the-Top (CTV and OTT) - Streaming Television and Film Viewership - OTT Movie Viewers - Genre - Crime Movie Streamers,300x250,YJMEQ9238S,Sign up Now - 10% Off,cars.com,BidSwitch,Windows PC,69757,41258,65374,199,20," $1,510.62 "
KP52V,Media and Entertainment - Consumer Entertainment Technology,300x250,ZZORT7715Y,Sign up Now - 10% Off,editorsnation.com,Google Ad Manager,Smartphone,10942,4578,9155,66,3," $1,595.75 "
FK85V,Media and Entertainment - Events and Attractions,300x250,FPTNH7101O,10% Discount - Ends 6/1,motor-junkie.com,PubMatic,Windows PC,70506,26779,48902,270,3," $1,912.97 "
NC3U,Media and Entertainment - Gaming - In-Market,300x250,ZQXCO1346J,Sign up Today - 10% Off,moneyppl.com,Xandr - Monetize SSP (AppNexus),Windows PC,37076,9246,22565,113,12," $1,488.00 "
PA8P,Media and Entertainment - Gaming - Interest (Affinity) - Video Games,320x50,GHEXC4271G,Subscribe Today - 10% Discount,bleacherbreaker.com,OpenX,Smartphone,9078,4051,6215,21,1," $1,700.80 "
TW45O,Media and Entertainment - Movies - Enthusiasts,320x50,DRBTQ7923R,Subscribe Today - 10% Discount,wsvn.com,BidSwitch,Smartphone,13466,8684,11766,150,1," $1,527.18 "
QX29U,Media and Entertainment - Music,300x250,JYBOR4297F,10% Discount - Ends 6/1,cnn.com,Yahoo Exchange,Smartphone,45402,17284,27542,122,5," $2,163.27 "
TC57U,Media and Entertainment - News and Current Events,300x250,JYBOR4297F,Sign up Now - 10% Off,nbcnews.com,Google Ad Manager,Smartphone,183208,131164,177952,620,43," $2,682.44 "
BT52H,Media and Entertainment - News and Current Events - Online News Websites,320x50,AROWV6562F,Sign up Now - 10% Off,newsharper.com,TripleLift,Smartphone,16288,5304,10731,56,3," $2,030.14 "
VT9W,Media and Entertainment - Sports and Recreational Activities - Interest (Affinity),300x250,VTVTF9406H,Sign up Now - 10% Off,cheapoair.com,Google Ad Manager,Smartphone,14581,6970,8882,85,4," $2,636.20 "
SF13N,Media and Entertainment - Sports and Recreational Activities - Interest (Affinity) - Combat Sports,320x50,HPTJG5110P,Sign up Now - 10% Off,npr.org,Smart RTB+ (Smartadserver),Smartphone,13592,7747,10690,85,1," $1,555.11 "
LG29V,Media and Entertainment - Sports and Recreational Activities - Interest (Affinity) - Individual Sports,320x50,BANVC6058Q,Subscribe Today - 10% Discount,yahoo.com,TripleLift,Smartphone,37227,13542,32456,130,4," $1,901.09 "
DL91Y,Media and Entertainment - Sports and Recreational Activities - Interest (Affinity) - Individual Sports - Tennis and Racquet Sports,300x250,DLALL5294N,Sign up Now - 10% Off,investopedia.com,BidSwitch,Apple PC,17228,11116,16044,30,3," $1,547.51 "
KP12T,Media and Entertainment - Sports and Recreational Activities - Interest (Affinity) - Motorsports,300x250,JVAUR7344V,Subscribe Today - 10% Discount,biblegateway.com,Google Ad Manager,Windows PC,21531,15593,18617,55,6," $1,470.97 "
YD50C,Media and Entertainment - Sports and Recreational Activities - Interest (Affinity) - Olympics,300x250,IECYH3530S,Subscribe Today - 10% Discount,nba.com,Google Ad Manager,Smartphone,10883,1652,8869,46,16," $1,942.48 "
HJ53U,Media and Entertainment - Sports and Recreational Activities - Interest (Affinity) - Olympics - Summer Olympics,320x50,QBITE8490L,Sign up Today - 10% Off,att.yahoo.com,BidSwitch,Smartphone,10992,6677,10132,97,3," $1,675.99 "
IR91W,Media and Entertainment - Sports and Recreational Activities - Interest (Affinity) - Olympics - Winter Olympics,320x50,QBSOQ6151K,10% Discount - Ends 6/1,outlook.live.com,Google Ad Manager,Smartphone,21229,18073,19655,80,10," $1,550.08 "
QH16W,Media and Entertainment - Sports and Recreational Activities - Interest (Affinity) - Team Sports - Baseball,320x50,CLLBZ5214Q,Sign up Now - 10% Off,news.yahoo.com,PubMatic,Smartphone,73544,40405,67406,223,1," $1,465.87 "
AZ61O,Media and Entertainment - Sports and Recreational Activities - Interest (Affinity) - Team Sports - Baseball - Major League Baseball (MLB),300x250,KFRBM4147Z,Subscribe Today - 10% Discount,aol.com,OpenX,Smartphone,11062,6539,9391,78,2," $1,500.10 "
OJ90E,Media and Entertainment - Sports and Recreational Activities - Interest (Affinity) - Team Sports - Football (American),320x50,POYRQ6465K,Subscribe Today - 10% Discount,msn.com,Google Ad Manager,Smartphone,47931,15989,38916,170,4," $1,487.23 "
OP80Y,Media and Entertainment - Sports and Recreational Activities - Interest (Affinity) - Team Sports - Soccer (Football),300x250,SAXFV6520F,Sign up Today - 10% Off,merriam-webster.com/dictionary,BidSwitch,Smartphone,7402,3860,6406,9,1," $1,560.45 "
OW98P,Media and Entertainment - Television (TV),300x250,HNQOJ3592J,Subscribe Today - 10% Discount,poshland.com,Google Ad Manager,Smartphone,9130,3721,5564,33,1," $1,655.79 "
ZV1K,Media and Entertainment - Television (TV) - Viewership,300x250,JYDYN0938L,Sign up Today - 10% Off,womenshealthmag.com,BidSwitch,Smartphone,14693,6597,13508,70,4," $2,047.35 "
RI33T,Media and Entertainment - Television (TV) - Viewership - TV Genres - Drama,300x250,ONZOI4536S,Sign up Today - 10% Off,semana.com,OpenX,Windows PC,16325,9558,15426,78,21," $1,814.10 "
ON2U,Media Source,300x250,KHYWK4353X,10% Discount - Ends 6/1,healthyrecipesblogs.com,Yieldmo,Smartphone,9149,4568,8648,40,4," $1,758.10 "
TB53B,Media Source - LBDigital - Open For Business B2B,320x50,PNDZA8403Y,Sign up Now - 10% Off,tomsguide.com,OpenX,Smartphone,21737,11206,19459,80,4," $1,521.58 "
NE81K,Mobile - US - Automotive - Repair & Oil Change - Intend,320x50,KSIMT4587A,Subscribe Today - 10% Discount,therighthairstyles.com,Index Exchange,Smartphone,9157,4520,8037,60,2," $1,449.18 "
YH75O,Mobile - US - Automotive - Vehicle Ownership - Brand - BMW,320x50,ZMFKM9001I,10% Discount - Ends 6/1,uscellular.com,BidSwitch,Smartphone,17561,2960,9953,50,10," $1,519.90 "
RJ65C,Mobile - US - Automotive - Vehicle Ownership - yes,300x50,GKRMR1768T,Sign up Today - 10% Off,mail.yahoo.com,Google Ad Manager,Smartphone,562103,340616,488921,1450,8," $1,733.83 "
KP14B,Mobile - US - Demographics - Education - High Education Achievement,300x250,AQGKA8901Y,Sign up Today - 10% Off,yahoo.com,Google Ad Manager,Windows PC,74164,25104,61242,241,19," $1,902.30 "
QX68R,Mobile - US - Demographics - Education - Lowest Education Achievement,320x50,BKTFJ3090U,10% Discount - Ends 6/1,essentiallysports.com,BidSwitch,Smartphone,82916,24951,77333,199,12," $1,584.82 "
OF92W,Mobile - US - Demographics - Finance - Rent Value - Highest Rent Value,300x250,FXGBS1831V,Subscribe Today - 10% Discount,omnicalculator.com,Google Ad Manager,Smartphone,11214,5523,10267,49,2," $1,554.39 "
OR18G,Mobile - US - Demographics - Finance - Rent Value - Lowest Rent Value,320x50,SYMLU1611U,10% Discount - Ends 6/1,outlook.live.com,Google Ad Manager,Smartphone,55274,47583,51275,219,3," $1,532.76 "
XX77N,Mobile - US - Device Ownership - Smartphones - Huawei,300x250,OYUEN2234N,Sign up Now - 10% Off,dailymail.co.uk/tvshowbiz,Google Ad Manager,Smartphone,7427,4752,6566,0,1," $1,504.78 "
CA34N,Mobile - US - Device Ownership - Smartphones - iOS (Apple) - iPhone 11,320x50,DZZSC6982P,10% Discount - Ends 6/1,finance.yahoo.com,Google Ad Manager,Smartphone,22163,2368,8130,55,3," $1,493.78 "
TF33H,Mobile - US - Device Ownership - Smartphones - iOS (Apple) - iPhone X,300x250,TIBWX8177M,Sign up Now - 10% Off,finance.yahoo.com,Taboola,Windows PC,74426,39257,67151,150,15," $1,519.60 "
MW33J,Mobile - US - Device Ownership - Smartphones - iOS (Apple) - yes,320x50,CFHGW5648C,Sign up Now - 10% Off,people.com,Yieldmo,Smartphone,22175,14910,20074,140,6," $1,909.28 "
MW86D,Mobile - US - Device Ownership - Smartphones - Vivo,300x50,UIPSP5950E,Subscribe Today - 10% Discount,jdpower.com,Google Ad Manager,Smartphone,9178,4644,8462,25,2," $1,503.21 "
MW13Q,Mobile - US - Device Ownership - Smartphones - ZTE,300x250,AQGKA8901Y,10% Discount - Ends 6/1,ebay.com,BidSwitch,Windows PC,74436,30158,69150,175,21," $1,558.55 "
QP28Q,Mobile - US - Device Ownership - Tablets - yes,300x250,QYEQM4399O,Sign up Now - 10% Off,medicalnewstoday.com,BidSwitch,Apple PC,17645,9673,15088,40,15," $1,591.77 "
OW85L,Mobile - US - Financial Services - Digital Payments - Chase Pay,300x250,MDIZH0479C,10% Discount - Ends 6/1,outlook.live.com,Google Ad Manager,Smartphone,21088,17930,19822,60,4," $1,623.68 "
SA31K,Mobile - US - Food - Restaurant - Brand - Buffalo Wild Wings,300x250,VAMYM3927E,Subscribe Today - 10% Discount,evite.com,Google Ad Manager,Windows PC,16354,8061,15667,40,4," $1,610.32 "
QK4P,Mobile - US - Food - Restaurant - Brand - Chilis,300x250,VPGMT8907Q,Sign up Now - 10% Off,outlook.live.com,BidSwitch,Apple PC,87245,71903,80390,350,2," $1,500.84 "
HQ23R,Mobile - US - Food - Restaurant - Brand - Five Guys,300x250,WVOFQ9893P,10% Discount - Ends 6/1,ebay.com,BidSwitch,Smartphone,9210,3798,8619,80,2," $1,536.63 "
FZ30H,Mobile - US - Food - Restaurant - Brand - Krispy Kreme,300x50,INCRB7252U,10% Discount - Ends 6/1,usnews.com,PubMatic,Smartphone,13608,2714,9332,66,1," $1,762.66 "
JJ78G,Mobile - US - Food - Restaurant - Brand - Moes Southwest Grill,320x50,JPXBW4979F,Sign up Today - 10% Off,mapquest.com,Index Exchange,Smartphone,21903,18831,20922,124,4," $1,661.17 "
TA70Z,Mobile - US - Food - Restaurant - Brand - Outback Steakhouse,300x250,VJSZC2958L,Subscribe Today - 10% Discount,buzzfeed.com,TripleLift,Smartphone,11296,6822,9274,54,4," $1,682.34 "
SN27L,Mobile - US - Food - Restaurant - Brand - Red Lobster,300x250,BJMIP6724O,Sign up Today - 10% Off,thesaurus.com,BidSwitch,Smartphone,57917,3650,55128,212,5," $1,669.73 "
KD61O,Mobile - US - Food - Restaurant - Style - Desserts,300x250,VFZBB0282D,Sign up Today - 10% Off,dictionary.com,BidSwitch,Apple PC,18028,1851,14926,89,24," $1,572.24 "
RK95C,Mobile - US - Gamers - Online - Users,320x50,AUSLN9199Y,Subscribe Today - 10% Discount,the-sun.com,Magnite DV+,Smartphone,16372,4731,15332,90,9," $1,704.51 "
ID64N,Mobile - US - Shopping - Brand - Old Navy,300x250,ANIZM5002N,Sign up Now - 10% Off,autotrader.com,PubMatic,Smartphone,67752,47126,65080,174,3," $1,557.02 "
DK62C,Mobile - US - Sports - Basketball - NCAA College Basketball,300x250,POCRB4406V,Subscribe Today - 10% Discount,wizofawes.com,Magnite DV+,Smartphone,13642,9830,11658,40,3," $1,731.27 "
UV55D,Mobile - US - Sports - Motor Sports - NASCAR,320x50,IECYH3530S,Sign up Now - 10% Off,yahoo.com,Google Ad Manager,Smartphone,74516,23985,63853,200,24," $1,523.78 "
VR34F,Mobile - US - Sports - UFC Fans,320x50,ZLWMH0969T,Sign up Today - 10% Off,ign.com,Google Ad Manager,Smartphone,22180,4835,19291,60,9," $1,441.63 "
QD76P,Mobile - US - Sports - Water Sports - Boating,320x50,NEAPL8644K,10% Discount - Ends 6/1,heraldweekly.com,Sharethrough,Smartphone,13655,9519,13041,66,3," $1,475.25 "
QQ83V,Mobile - US - Travel - Activity - Ski Travelers,320x50,VILUK8823M,Subscribe Today - 10% Discount,hindustantimes.com,Google Ad Manager,Smartphone,16580,11928,14527,84,6," $1,965.74 "
VE61P,Mobile - US - Travel - Car Rentals - Hertz,320x50,WVIEF2507J,Sign up Today - 10% Off,ebay.com,BidSwitch,Smartphone,87287,40039,80040,203,18," $1,579.37 "
OI24N,Mobile - US - Travel - Destination - International Travelers - Frequent Travelers,300x250,QAKGQ0599J,Sign up Today - 10% Off,biblegateway.com,Smart RTB+ (Smartadserver),Apple PC,18313,9481,16300,60,4," $1,456.93 "
RA17O,Mobile - US - Travel - Destination - International Travelers - yes,320x50,ZGKGP8289X,Sign up Today - 10% Off,mail.aol.com,BidSwitch,Smartphone,69136,40571,63614,190,3," $1,507.95 "
HV23X,Mobile - US - Travel - Vacation Rentals - HomeAway,320x50,RRHIG7939U,Sign up Today - 10% Off,foxnews.com,Google Ad Manager,Smartphone,91593,51004,82985,40,18," $1,731.58 "
PQ96Y,Mobile Audience - Lifestyle - Arts Enthusiasts,300x250,VFEQO2766Q,10% Discount - Ends 6/1,weather.com,PubMatic,Smartphone,40519,6105,26283,111,10," $1,582.41 "
BP46K,OnAudience,300x250,FASKQ5093E,Sign up Today - 10% Off,clutchpoints.com,Google Ad Manager,Smartphone,7472,1191,5883,10,1," $2,183.95 "
KP86R,OnAudience - Intent,320x50,MTDOM6894I,10% Discount - Ends 6/1,slickdeals.net,Google Ad Manager,Smartphone,19212,6872,14248,54,10," $2,133.08 "
IJ79W,OnAudience - Intent - Animals & Pet,300x250,HICAK5310C,Subscribe Today - 10% Discount,a-z-animals.com,OpenX,Smartphone,75161,40385,70325,280,3," $1,506.46 "
FX84C,OnAudience - Intent - Auto - Vehicle Parts & Accessories,320x50,BZYUX5752U,Subscribe Today - 10% Discount,ebay.com,BidSwitch,Smartphone,37269,11667,33260,106,6," $1,453.08 "
XV77J,OnAudience - Intent - Baby & Toddler,300x250,KOPFG9064M,Sign up Now - 10% Off,topclassactions.com,Index Exchange,Windows PC,16628,7974,15969,70,13," $1,665.97 "
BP1N,OnAudience - Intent - Baby & Toddler - Baby Toys,300x250,CVPKQ4333A,10% Discount - Ends 6/1,poshland.com,Magnite DV+,Windows PC,16669,10961,15451,26,5," $1,658.36 "
ZH50S,OnAudience - Intent - Education,320x50,VJSZC2958L,Subscribe Today - 10% Discount,icy-veins.com,PubMatic,Smartphone,19344,2353,18261,68,10," $1,500.72 "
WX33F,OnAudience - Intent - Electronics - Video - Televisions,320x50,JYUMW9816F,10% Discount - Ends 6/1,accuweather.com,OpenX,Smartphone,19826,6511,15752,39,10," $1,447.87 "
ZH63R,OnAudience - Intent - Electronics - Video Game Consoles,320x50,GWRJB5730V,Sign up Now - 10% Off,reuters.com,Taboola,Smartphone,16791,11402,14231,40,3," $1,522.51 "
RR20Z,OnAudience - Intent - Software,300x250,LZDFY9479R,Sign up Today - 10% Off,politico.com,Google Ad Manager,Windows PC,22501,13003,21286,120,9," $1,522.52 "
JI73B,OnAudience - Intent - Software - Video Game Software,300x250,JLZEQ0328H,Sign up Today - 10% Off,activebeat.com,Google Ad Manager,Windows PC,76439,58269,66924,100,8," $1,524.81 "
VG35E,OnAudience - Intent - Sporting Goods,300x250,GRLRA8191Q,Sign up Now - 10% Off,calculator.net,PubMatic,Smartphone,22004,18735,21127,80,4," $1,632.47 "
CZ97I,OnAudience - Intent - Sporting Goods - Team Sports,300x250,VJDNM3110F,10% Discount - Ends 6/1,cbssports.com,Magnite DV+,Apple PC,94340,16955,76971,250,13," $1,517.24 "
SY63H,OnAudience - Intent - Toys & Games,320x50,JBJHR4385F,Subscribe Today - 10% Discount,kbb.com,Google Ad Manager,Smartphone,9222,5352,8141,33,2," $1,583.16 "
VJ54T,OnAudience - Intent - Travel,300x250,MXNZG3785U,Subscribe Today - 10% Discount,msn.com,BidSwitch,Apple PC,96031,57187,78396,311,21," $1,508.91 "
BB24S,OnAudience - Interest,300x250,BHJKL7319I,Sign up Today - 10% Off,tomsguide.com,Magnite DV+,Smartphone,11343,5900,10175,69,3," $2,178.15 "
VD19D,OnAudience - Interest - Arts & Entertainment,320x50,CVPKQ4333A,Subscribe Today - 10% Discount,redfin.com,OpenX,Smartphone,37617,5092,34373,85,6," $1,608.88 "
CE62P,OnAudience - Interest - Arts & Entertainment - Celebrity Fan - Gossip,300x250,FKKDR3691J,Subscribe Today - 10% Discount,ebay.com,BidSwitch,Smartphone,77703,33478,72874,204,3," $1,566.91 "
FM84C,OnAudience - Interest - Arts & Entertainment - Fine Art,300x50,LPXCY6522G,Sign up Now - 10% Off,kbb.com,BidSwitch,Smartphone,37717,26541,35126,69,5," $1,725.27 "
WF66F,OnAudience - Interest - Arts & Entertainment - Movies,300x250,ISEGR9981S,Subscribe Today - 10% Discount,realtor.com,BidSwitch,Smartphone,30714,12531,28461,111,9," $1,503.48 "
JF49Z,OnAudience - Interest - Arts & Entertainment - Music Lovers,300x250,BYINL9871V,Sign up Today - 10% Off,foxnews.com,OpenX,Windows PC,76724,43209,69530,187,9," $1,493.20 "
DY68W,OnAudience - Interest - Arts & Entertainment - Television,300x250,RRHIG7939U,10% Discount - Ends 6/1,forbes.com,Google Ad Manager,Windows PC,22800,8298,21161,79,24," $1,620.17 "
WK86W,OnAudience - Interest - Business,300x250,MTOTS2232O,Sign up Today - 10% Off,cbsnews.com,PubMatic,Smartphone,13700,3609,12644,63,4," $2,032.70 "
PB54F,OnAudience - Interest - Business - Economy,300x250,LLHDI5345H,Subscribe Today - 10% Discount,cnn.com,Google Ad Manager,Smartphone,77748,6170,53603,227,3," $1,498.30 "
JM50E,OnAudience - Interest - Careers,320x50,GEEXJ2987K,Subscribe Today - 10% Discount,biblegateway.com,Google Ad Manager,Smartphone,77313,40366,71128,191,3," $1,790.39 "
ND59Y,OnAudience - Interest - Education,320x50,XBUQQ6173W,Sign up Today - 10% Off,politico.com,BidSwitch,Smartphone,20165,6601,18909,60,10," $1,743.08 "
SP53W,OnAudience - Interest - Food & Drink,300x250,VAMYM3927E,10% Discount - Ends 6/1,w3schools.com,Google Ad Manager,Windows PC,38070,15253,35453,146,8," $1,653.51 "
CB44H,OnAudience - Interest - Games,320x50,DNKCL6936S,Sign up Now - 10% Off,gamespot.com,BidSwitch,Smartphone,13779,3482,12487,96,4," $1,530.04 "
NJ37T,OnAudience - Interest - Hobbies & Interests - Art,300x250,AIUWS8476Y,Subscribe Today - 10% Discount,timeanddate.com,Magnite DV+,Windows PC,22934,18536,21019,81,5," $1,711.11 "
LA11D,OnAudience - Interest - Life Stage,300x250,YMMMQ8595M,10% Discount - Ends 6/1,ebay.com,Google Ad Manager,Smartphone,189462,53431,163634,478,5," $1,625.17 "
VQ33T,OnAudience - Interest - News,320x50,ZTMJW6643X,10% Discount - Ends 6/1,outlook.live.com,Google Ad Manager,Smartphone,42833,37438,40447,120,9," $2,040.93 "
LZ39I,OnAudience - Interest - News - International News,300x250,NXPMZ8898X,Sign up Now - 10% Off,weather.com,Index Exchange,Smartphone,197192,80623,181763,519,5," $1,584.73 "
CJ79P,OnAudience - Interest - News - Local News,300x50,AOTHP3333L,Sign up Now - 10% Off,foxnews.com,BidSwitch,Smartphone,69722,40640,64819,194,10," $1,667.66 "
AZ42U,OnAudience - Interest - News - National News,300x50,DJRUD9702Z,Sign up Now - 10% Off,greedyfinance.com,Google Ad Manager,Smartphone,20537,15587,19288,84,10," $1,609.88 "
ZD52J,OnAudience - Interest - News & Magazines,320x50,ISDJU1050N,Sign up Now - 10% Off,msn.com,Google Ad Manager,Smartphone,80456,46039,65383,204,3," $2,039.85 "
ZP23G,OnAudience - Interest - Personal Finance,320x50,VJDNM3110F,Subscribe Today - 10% Discount,essentiallysports.com,Google Ad Manager,Smartphone,80408,13127,67027,199,9," $1,788.11 "
DK71O,OnAudience - Interest - Pets,320x50,PHMEG3275U,Sign up Today - 10% Off,soaps.sheknows.com,Google Ad Manager,Smartphone,20572,2226,16510,90,10," $1,529.31 "
FN88O,OnAudience - Interest - Science - Weather,300x250,PFTYF9099D,Sign up Today - 10% Off,omnicalculator.com,Magnite DV+,Smartphone,13823,10671,12937,58,3," $1,574.71 "
OF94X,OnAudience - Interest - Science - Weather Forecast,300x250,MWWQM0755O,Sign up Today - 10% Off,biblegateway.com,Google Ad Manager,Windows PC,16808,9211,13372,43,3," $1,574.79 "
VL86Z,OnAudience - Interest - Shopping,300x50,VPGMT8907Q,Subscribe Today - 10% Discount,news.yahoo.com,Google Ad Manager,Smartphone,63415,28161,59169,185,9," $1,924.16 "
CA9X,OnAudience - Interest - Shopping - Luxurious Brands,320x50,GEOMK7360B,10% Discount - Ends 6/1,the-sun.com,Google Ad Manager,Smartphone,97346,44118,91080,790,19," $1,657.56 "
CE82F,OnAudience - Interest - Shopping - Shopping Mall Buyers,300x250,FMYIG2676Q,Sign up Now - 10% Off,cargurus.com,Sharethrough,Smartphone,7409,5009,7160,10,12," $1,472.11 "
EM71I,OnAudience - Interest - Social life,300x250,JPPMZ6483N,10% Discount - Ends 6/1,screenrant.com,BidSwitch,Smartphone,83537,67987,79409,222,4," $1,761.08 "
GP76Y,OnAudience - Interest - Society,300x50,XVRMT2814H,Subscribe Today - 10% Discount,thehulltruth.com,PubMatic,Smartphone,7531,3059,6523,10,1," $1,937.06 "
JW13H,OnAudience - Interest - Sports,300x250,HAKEC4651L,Sign up Now - 10% Off,femanin.com,Google Ad Manager,Smartphone,11375,7171,8151,87,4," $1,763.78 "
JU47S,OnAudience - Interest - Technology,300x50,PLERR1529Y,Sign up Now - 10% Off,cnn.com,Google Ad Manager,Smartphone,84306,45376,79935,185,3," $1,809.59 "
YN51W,OnAudience - Interest - Technology & Computing,300x50,ZZGMU8537Y,10% Discount - Ends 6/1,wunderground.com,PubMatic,Smartphone,23410,13626,22109,66,6," $1,930.18 "
FO81Y,OnAudience - Interest - Technology & Computing - Email,320x50,EUDBU4665J,Sign up Today - 10% Off,sporcle.com,GumGum,Smartphone,16956,7553,15201,65,3," $1,502.68 "
IQ50S,OnAudience - Interest - Technology & Computing - Entertainment,300x250,PHMEG3275U,Sign up Today - 10% Off,yahoo.com,BidSwitch,Smartphone,85965,33865,78662,233,3," $1,555.53 "
EX96U,OnAudience - Interest - Technology & Computing - Internet Technology,300x250,YZRZD5125Z,Subscribe Today - 10% Discount,ign.com,OpenX,Smartphone,13833,7693,13237,84,6," $1,526.79 "
KS33U,OnAudience - Interest - Travel,300x250,PGTDG9358C,Subscribe Today - 10% Discount,mail.yahoo.com,BidSwitch,Smartphone,7540,1475,2054,10,1," $1,713.98 "
PJ23H,Online Behavior > United States > Arts and Entertainment > Arts and Entertainment,320x50,HVQYH5891M,Subscribe Today - 10% Discount,nbcchicago.com,Google Ad Manager,Smartphone,7248,3988,6863,10,7," $1,247.00 "
DE47I,Online Behavior  >  United States  >  Arts and Entertainment  >  Celebrities and Entertainment News,320x50,NTGKR4815F,10% Discount - Ends 6/1,icy-veins.com,Google Ad Manager,Smartphone,9261,3852,8526,66,9," $6,511.03 "
